transaction_id,customer_id,transaction_date,amount,transaction_type,payment_method,payment_status,failure_reason,customer_age,customer_tenure_years,previous_successful_payments,previous_failed_payments,customer_lifetime_value,subscription_status,cart_value,time_since_failure_hours,recovery_attempts,contact_allowed,revenue_at_risk,predicted_probability,predicted_probability_percentage,recommended_action,simulated_recovered,simulated_recovered_revenue,action_success_probability
T033667,C12419,2025-08-21 10:36:32.227496,1654.08,payment,Wallet,abandoned,checkout_abandoned,22,2.8,7,1,27385.6,not_applicable,0.0,44,0,True,1654.08,0.4440743565956468,44.40743565956468,ESCALATE,False,0.0,0.26644461395738805
T020942,C19779,2025-08-21 11:57:32.227496,442.19,payment,UPI,failed,network_error,52,0.93,5,4,15361.74,not_applicable,0.0,3,0,True,442.19,0.4219131990882505,42.19131990882505,ALTERNATIVE_PAYMENT,False,0.0,0.40081753913383794
T033302,C13261,2025-08-21 13:32:32.227496,2868.72,subscription,Wallet,abandoned,checkout_abandoned,37,2.18,6,1,18650.6,active,0.0,5,2,True,2868.72,0.520986347341576,52.0986347341576,ESCALATE,False,0.0,0.2125918084049456
T000818,C10781,2025-08-21 14:38:32.227496,1389.16,payment,Debit Card,failed,insufficient_funds,57,0.32,3,1,10078.32,not_applicable,0.0,47,0,True,1389.16,0.11682134872166329,11.68213487216633,ESCALATE,False,0.0,0.07009280923299797
T035548,C16622,2025-08-21 15:34:32.227496,1350.02,checkout,UPI,abandoned,checkout_abandoned,42,1.82,8,1,27322.37,not_applicable,2010.47,45,0,True,1350.02,0.40782638327571563,40.78263832757156,ESCALATE,True,1350.02,0.24469582996542938
T038067,C17156,2025-08-21 15:58:32.227496,1152.31,payment,Net Banking,failed,card_expired,47,4.15,12,1,46778.27,not_applicable,0.0,4,1,True,1152.31,0.5356511873901718,53.56511873901718,ALTERNATIVE_PAYMENT,True,1152.31,0.5588686280206632
T040295,C13700,2025-08-21 16:06:32.227496,3592.29,payment,Net Banking,failed,card_expired,20,1.23,7,0,7365.74,not_applicable,0.0,41,0,True,3592.29,0.238115205482791,23.8115205482791,ESCALATE,True,3592.29,0.1428691232896746
T040796,C13232,2025-08-21 16:39:32.227496,752.82,subscription,Credit Card,failed,bank_declined,49,3.12,15,3,15833.24,renewal_failed,0.0,22,0,True,752.82,0.6921962146890153,69.21962146890152,ALTERNATIVE_PAYMENT,False,0.0,0.7575864039545644
T039130,C10775,2025-08-21 18:18:32.227496,316.81,subscription,Credit Card,failed,authentication_failed,54,2.75,6,3,14464.31,renewal_failed,0.0,15,0,True,316.81,0.38484392016834423,38.48439201683442,ALTERNATIVE_PAYMENT,False,0.0,0.46560172415992696
T049179,C17852,2025-08-21 18:20:32.227496,6658.01,payment,Wallet,failed,card_expired,49,1.03,5,1,12455.45,not_applicable,0.0,5,0,False,6658.01,0.22006133664382174,22.006133664382173,DO_NOT_CONTACT,False,0.0,0.0
